Store	Phone	Contact	Address	Town/City	Website?	Contacted?	Deal Stage	Region	Email	Notes
STIHL SHOP Matamata	07 888 8272	Brett & Shelly Elliott	91 Firth Street	MATAMATA	https://stihlshopmatamata.co.nz			Northern	matamata@stihlshop.co.nz	Email from franchise page (site email obfuscated)
STIHL SHOP McLaren Rural Services Limited	07 889 6053	Tony McLaren	8 Allen Street	MORRINSVILLE	https://mclarensrural.co.nz			Northern	info@mclarensrural.co.nz	Email from search snippet - verify
STIHL SHOP Milton	03 417 8959	John Taal	101 Union Street	MILTON	❌			Southern	milton@stihlshop.co.nz	
STIHL SHOP Mosgiel	03 486 1222	David Hay and Andrew Allan	119 Dukes Road North	MOSGIEL	https://stihlshopmosgiel.co.nz			Southern	mosgiel@stihlshop.co.nz	
STIHL SHOP Motueka	03 528 9159	Richard Mabbott	1a 396 High Street	MOTUEKA	❌			Southern	motueka@stihlshop.co.nz	
STIHL SHOP Mt Albert	09 846 1820	Hamish Cook and Clare Uhlenberg	859 New North Road	AUCKLAND	❌			Northern	mtalbert@stihlshop.co.nz	
STIHL SHOP Mt Maunganui	07 575 8840	Craig and Fiona Burnham	11 Newton Street	MT MAUNGANUI	https://www.stihlshopmtmaunganui.co.nz			Northern	mtmaunganui@stihlshop.co.nz	
STIHL SHOP Napier	06 835 7850	Martin and Deborah Leach	43 Thackeray Street	NAPIER	https://stihlshopnapier.co.nz			Central	napier@stihlshop.co.nz	
STIHL SHOP Nelson	03 548 0179	Isaac and Michelle Russell	66-68 Vanguard Street	NELSON	https://www.nelsonstihlshop.co.nz			Southern	sales@nelsonstihlshop.co.nz	
STIHL SHOP New Plymouth	06 757 2929	Hamish & Kate Scott	50 Molesworth Street	NEW PLYMOUTH	https://stihlshopnewplymouth.co.nz			Central	newplymouth@stihlshop.co.nz	
STIHL SHOP Northwood	03 974 2469	Will Price	554 Main North Road	CHRISTCHURCH	❌			Southern	northwood@stihlshop.co.nz	
STIHL SHOP Oamaru	03 437 1850	Brad Selfe	394 Thames Highway	OAMARU	❌			Southern	oamaru@stihlshop.co.nz	
STIHL SHOP Onehunga	09 636 6770	Shane Taylor	270 Church Street	ONEHUNGA	❌			Central	onehunga@stihlshop.co.nz	stihlshoponehunga.co.nz does not exist
STIHL SHOP Otorohanga	07 873 4016	Darren Lupton & Matthew Scott	4 Te Kanawa Street	OTOROHANGA	❌			Northern	otorohanga@stihlshop.co.nz	
STIHL SHOP Pahiatua	06 376 8829	Bevan Bisset	116 Main Street	PAHIATUA	https://www.bissethonda.co.nz			Central	bevan@bissethonda.co.nz	Trades as Bisset Honda
STIHL SHOP Palmerston North	06 358 6275	Mark Detrey	713 Main Street	PALMERSTON NORTH	https://www.stihlshoppalmerstonnorth.co.nz			Central	palmerstonnorth@stihlshop.co.nz	
STIHL SHOP Petone	04 586 7139	Alastair & Louise Thomson	38 Victoria Street	PETONE	https://www.stihlshoppetone.co.nz			Central	petone@stihlshop.co.nz	
STIHL SHOP Porirua	04 237 4085	Alastair Thomson	Shop 1.02 Porirua Mega Centre	PORIRUA	https://www.stihlshopporirua.co.nz			Central	porirua@stihlshop.co.nz	
STIHL SHOP Pukekohe	09 238 3723	Steve and Marlene Wright	16 Wrightson Way	PUKEKOHE	https://www.stihlshoppukekohe.co.nz			Northern	pukekohe.fires@stihlshop.co.nz	
STIHL SHOP Putaruru	07 883 8935	Anton & Morgan Middendorf	15 Taupo Street	PUTARURU	❌			Central	putaruru@stihlshop.co.nz	
STIHL SHOP Queenstown	03 442 3896	Murray Wilson	208 Glenda Drive	QUEENSTOWN	❌			Southern	queenstown@stihlshop.co.nz	
STIHL SHOP Rangiora	03 313 3398	Aron South	Corner Lineside and Station Road	RANGIORA	❌			Central	rangiora@stihlshop.co.nz	
STIHL SHOP Richmond	03 544 6122	Grant Blanchet	62 Gladstone Rd	RICHMOND	https://stihlshoprichmond.nz			Southern	sales@stihlshoprichmond.co.nz	stihlshoprichmond.co.nz redirects here
STIHL SHOP Rolleston	03 242 0421	Stephen Bain and Simon Moore	40 Hoskyns Road, Rolleston	CHRISTCHURCH	https://www.stihlshoprolleston.co.nz/			Southern	rolleston@stihlshop.co.nz	
STIHL SHOP Rotorua	07 348 6614	Alan & Phillip Richards	Cnr Amohau & Hinemaru St	ROTORUA	❌	Yes	Closed Won	Central	rotorua@stihlshop.co.nz	
STIHL SHOP Silverdale	09 426 5414	Peter & Judy Leishman	6 Flexman Place	SILVERDALE	❌			Northern	silverdale@stihlshop.co.nz	
STIHL SHOP Stratford	06 765 5202	Hamish and Kate Scott	369 Broadway	STRATFORD	https://stihlshopnewplymouth.co.nz			Central	stratford@stihlshop.co.nz	Shared site with New Plymouth
STIHL SHOP Taihape	06 388 1211	Stephen Gazjago & Joshua Gazjago	89-91 Hautapu Street	TAIHAPE	❌			Central	taihape@stihlshop.co.nz	
STIHL SHOP Taumarunui	07 895 8110	Stephen Gazjago & Joshua Gazjago	4 Katarina Street	TAUMARUNUI	❌			Central	taumarunui@stihlshop.co.nz	
STIHL SHOP Taupo	07 378 4667	Tim & Kate Martin	64 Miro Street	TAUPO	❌			Central	taupo@stihlshop.co.nz	
STIHL SHOP Tauranga	07 577 0747	Greg McLarnon	154 Elizabeth Street	TAURANGA	https://stihlshoptauranga.co.nz	Yes	Closed Won	Northern	tauranga@stihlshop.co.nz	Parts: tauranga.parts@stihlshop.co.nz
STIHL SHOP Te Anau	03 249 7322	Chris McKenzie and Alissa Johnston	15 Snodgrass Road	TE ANAU	https://www.fiordlandmarine.co.nz			Southern	admin@fiordlandmarine.co.nz	Trades as Fiordland Marine
STIHL SHOP Te Aro	04 298 2551	Richard and Gina Lousley	239 Cuba Street	TE ARO	❌			Central	tearo@stihlshop.co.nz	Trades as STIHL SHOP Ellmers
STIHL SHOP Te Awamutu	07 871 6134	Matthew & Sharlene Hird	424 Ohaupo Road	TE AWAMUTU	https://www.stihlshopta.co.nz	Yes	Proposal Sent	Central	teawamutu@stihlshop.co.nz	Said give them a couple weeks as things are busy
STIHL SHOP Te Puke	07 573 7019	Jeremy Fursdon & Brad Helbron	22 Jellicoe Street	TE PUKE	❌			Northern	tepuke@stihlshop.co.nz	
STIHL SHOP Te Rapa	07 849 9966	Onkar and Sukhdeep Singh	39 Te Kowhai Road East	HAMILTON	https://stihlshop-terapa.co.nz/			Northern	terapa@stihlshop.co.nz	
STIHL SHOP Thames	07 868 8730	Jill Gavey & Nic Jensen	317 Pollen Street	THAMES	❌			Northern	thames@stihlshop.co.nz	
STIHL SHOP Timaru	03 688 2557	John Bishop	105 Hilton Highway	TIMARU	https://stihlshoptimaru.co.nz/			Southern	sales@stihlshoptimaru.co.nz	
STIHL SHOP Tokoroa	07 886 6612	Russell & Gaye Hoskins	12 Campbell Street	TOKOROA	❌			Central	tokoroa@stihlshop.co.nz	
STIHL SHOP Upper Hutt	04 527 9682	Alastair & Louise Thomson	769 Fergusson Drive	UPPER HUTT	https://www.stihlshopupperhutt.co.nz/			Central	upperhutt@stihlshop.co.nz	
STIHL SHOP Waiheke	022 320 3844	Ben Lash	2A Tahi Road, Ostend	WAIHEKE ISLAND	❌			Northern	waiheke@stihlshop.co.nz	
STIHL SHOP Waihi	07 863 8385	Greg & Siobhan McLarnon	36 Kenny Street	WAIHI	❌	Yes	Closed Won	Northern	stihlshopwaihi@gmail.com	Uses a gmail address
STIHL SHOP Waipapa	09 407 6140	Mathew & Kimberley Vincent	The Palms, Shop 1, Klinac Lane	KERIKERI	❌			Northern	waipapa@stihlshop.co.nz	
STIHL SHOP Waipukurau	06 858 9109	Gareth Bloomfield	49 - 51 Takapau Rd	WAIPUKURAU	https://www.millshonda.co.nz			Central	waipukurau@stihlshop.co.nz	Trades as Mills Honda; alt sales@millshonda.co.nz
STIHL SHOP Wairoa	06 838 9005	Craig Curphey	54 Queen Street	WAIROA	❌			Central	wairoa@stihlshop.co.nz	
STIHL SHOP Wanaka	03 443 7916	Sam & Jenna Scott	3 Reece Crescent	WANAKA	❌			Southern	wanaka@stihlshop.co.nz	
STIHL SHOP Wanganui	06 348 9560	John & Robert Bartley	Cnr Ridgway & Wilson Street	WANGANUI	❌			Central	wanganui@stihlshop.co.nz	
STIHL SHOP Warkworth	09 425 7772	Michael & Roanne Bremner	32 Whittaker Road	WARKWORTH	https://www.stihlshopwarkworth.co.nz			Northern	warkworth@stihlshop.co.nz	
STIHL SHOP Westgate	09 930 9999	Craig Walker, Ben & Rae Deakin	15 Kakano Road	AUCKLAND	❌			Northern	westgate@stihlshop.co.nz	
STIHL SHOP Westport	03 789 5331	Bill and Shelley Caines	56 Palmerston Street	WESTPORT	❌			Southern	westport@stihlshop.co.nz	
STIHL SHOP Whakatane	07 308 8658	Patrick Redward	7 - 11 King Street	WHAKATANE	https://stihlshopwhakatane.co.nz			Central	whakatane@stihlshop.co.nz	
STIHL SHOP Whangamata	07 865 6093	Phillip and Cheryl Clarke	303 Casement Road	WHANGAMATA	❌			Northern	whangamata@stihlshop.co.nz	
STIHL SHOP Whangarei	09 438 8841	Raymond Nair, Olivia Lew and James Nair	17 Reyburn Street	WHANGAREI	❌			Northern	whangarei@stihlshop.co.nz	
STIHL SHOP Winton	03 236 8585	Sarah and Fraser Guise	177 Great North Road	WINTON	https://www.stihlshopwinton.co.nz			Southern	winton@stihlshop.co.nz	
