category,categoryLabel,slug,store,town,region,phone,email,ownersRaw,website,tradesAs,sharedSiteWith,siteScore,siteTech,siteSnapshot,googleRating,googleReviews,facebook,fbFollowers,instagram,previewHost,stage,categoryReasons,notes
1,No website,westport,STIHL SHOP Westport,Westport,Southern,03 789 5331,westport@stihlshop.co.nz,Bill and Shelley Caines,,,,,,,5,7,https://www.facebook.com/stihlshopwestport,259,https://www.instagram.com/stihlshopwestport/,westport.preview.f925.works,,no website of their own · Google 5★ (7 reviews) with nowhere to send people · Facebook page with 259 followers is their only web presence,
2,Weak website,gisborne,STIHL SHOP Gisborne,Gisborne,Central,06 868 8045,gisborne@stihlshop.co.nz,Tony and Kirsten Morris,https://www.stihlshopgisborne.co.nz,,,36,WordPress,,4.7,58,https://www.facebook.com/STIHLSHOPGisborne,1803,https://www.instagram.com/stihlshopgisborne/,gisborne.preview.f925.works,,audit 36/100 on WordPress · stale (newest year on page 2023) · slow load 8.5s · no contact form,
2,Weak website,hastings,STIHL SHOP Hastings,Hastings,Central,06 876 9458,hastings@stihlshop.co.nz,Gareth and Amie Chadwick,https://stihlshophastings.co.nz,,,52,WordPress,,4.8,119,https://www.facebook.com/Stihl-Shop-Hastings-2352085484812263,,https://www.instagram.com/stihlshophastings/,hastings.preview.f925.works,,audit 52/100 on WordPress · slow load 10.1s · no contact form,
2,Weak website,porirua,STIHL SHOP Porirua,Porirua,Central,04 237 4085,porirua@stihlshop.co.nz,Alastair Thomson,https://www.stihlshopporirua.co.nz,,,48,Webflow,,4.9,39,https://www.facebook.com/STIHLSHOPPorirua,525,https://www.instagram.com/stihlshopporirua/,porirua.preview.f925.works,,audit 48/100 on Webflow · stale (newest year on page 2024) · no contact form · no opening hours found,
2,Weak website,whakatane,STIHL SHOP Whakatane,Whakatane,Central,07 308 8658,whakatane@stihlshop.co.nz,Patrick Redward,https://stihlshopwhakatane.co.nz,,,50,WordPress,,4.7,48,https://www.facebook.com/StihlshopWhakatane,812,https://www.instagram.com/stihlshopwhakatane/,whakatane.preview.f925.works,,audit 50/100 on WordPress · slow load 11.8s · no contact form · no opening hours found,
2,Weak website,botany,STIHL SHOP Botany,Auckland,Northern,09 271 3000,botany@stihlshop.co.nz,Onkar and Sukhi Singh,https://stihlshopbotany.co.nz,,,53,WordPress (Elementor),2026-03-02,4.5,222,https://www.facebook.com/STIHLSHOPBotany,2339,https://www.instagram.com/stihlshopbotany/,botany.preview.f925.works,,audit 53/100 on WordPress (Elementor) · own product catalogue / cart (RFP §6 conflict) · no contact form · no opening hours found · seen via Wayback 2026-03-02 + live text (site geo-blocks non-NZ visitors),
2,Weak website,browns-bay,STIHL SHOP Browns Bay,Browns Bay,Northern,09 475 5129,brownsbay@stihlshop.co.nz,Peter & Judy Leishman,https://stihlshopbrownsbay.co.nz,,,52,WordPress,,4.8,55,https://www.facebook.com/stihlshopbrownsbay,493,https://www.instagram.com/stihlshopbrownsbay/,browns-bay.preview.f925.works,,audit 52/100 on WordPress · slow load 7.1s · no contact form,
2,Weak website,east-tamaki,STIHL SHOP East Tamaki,East Tamaki,Northern,09 274 6238,easttamaki@stihlshop.co.nz,Hamish Cook and Clare Uhlenberg,https://www.stihlshopeasttamaki.co.nz,,,36,WordPress,,4.2,145,https://www.facebook.com/Stihl-Shop-East-Tamaki-432493310200980,,,east-tamaki.preview.f925.works,,audit 36/100 on WordPress · stale (newest year on page 2020) · slow load 9.9s · no contact form,
2,Weak website,glenfield,STIHL SHOP Glenfield,Auckland,Northern,09 215 4398,glenfield@stihlshop.co.nz,Raman Behl,https://stihlshopglenfield.co.nz,,,48,WordPress,2026-01-21,5,17,https://www.facebook.com/p/STIHL-SHOP-Glenfield-61580097892583/,59,https://www.instagram.com/stihlshopglenfield/,glenfield.preview.f925.works,,audit 48/100 on WordPress · only 1 internal pages · no contact form · seen via Wayback 2026-01-21 + live text (site geo-blocks non-NZ visitors),
2,Weak website,hamilton-east,STIHL SHOP Hamilton East,Hamilton,Northern,07 856 6597,hamiltoneast@stihlshop.co.nz,Joel and Alex Hansen,https://www.stihlshophameast.co.nz,,,49,WordPress (Elementor),,4.4,193,https://www.facebook.com/StihlShopHamiltonEast,2476,,hamilton-east.preview.f925.works,,audit 49/100 on WordPress (Elementor) · stale (newest year on page 2021) · slow load 13.0s · no contact form,
2,Weak website,howick,STIHL SHOP Howick,Howick,Northern,09 532 8443,howick@stihlshop.co.nz,Garth Deenik,https://stihlshophowick.co.nz,,,36,WordPress,,4.9,43,https://www.facebook.com/p/STIHL-SHOP-Howick-61552688423591/,325,https://www.instagram.com/stihlshophowick/,howick.preview.f925.works,,audit 36/100 on WordPress · stale (newest year on page 2014) · slow load 7.0s · no contact form,
2,Weak website,matamata,STIHL SHOP Matamata,Matamata,Northern,07 888 8272,matamata@stihlshop.co.nz,Brett & Shelly Elliott,https://stihlshopmatamata.co.nz,,,52,WordPress,,4.7,49,https://www.facebook.com/StihlShopMatamata,,https://www.instagram.com/stihl_shop_matamata/,matamata.preview.f925.works,,audit 52/100 on WordPress · slow load 6.6s · no contact form,Email from franchise page (site email obfuscated)
2,Weak website,pukekohe,STIHL SHOP Pukekohe,Pukekohe,Northern,09 238 3723,pukekohe.fires@stihlshop.co.nz,Steve and Marlene Wright,https://www.stihlshoppukekohe.co.nz,,,33,Custom / unknown,,4.5,190,https://www.facebook.com/p/Stihl-Shop-Pukekohe-100069911808073/,17,https://www.instagram.com/stihlshoppukekohenz/,pukekohe.preview.f925.works,,audit 33/100 on Custom / unknown · stale (newest year on page 2016) · slow load 6.0s · horizontal overflow on phone · no contact form,
2,Weak website,silverdale,STIHL SHOP Silverdale,Silverdale,Northern,09 426 5414,silverdale@stihlshop.co.nz,Peter & Judy Leishman,https://stihlshopsilverdale.co.nz,,,52,WordPress,,4.8,119,https://www.facebook.com/Stihl-Shop-Silverdale-2482034648514548,,,silverdale.preview.f925.works,,audit 52/100 on WordPress · slow load 8.5s · no contact form,
2,Weak website,te-awamutu,STIHL SHOP Te Awamutu,Te Awamutu,Northern,07 871 6134,teawamutu@stihlshop.co.nz,Matthew & Sharlene Hird,https://www.stihlshopta.co.nz,,,54,WordPress (Elementor),,4.5,112,https://www.facebook.com/stihlshopta,1119,,te-awamutu.preview.f925.works,Proposal Sent,audit 54/100 on WordPress (Elementor) · stale (newest year on page 2021) · slow load 8.5s · no contact form,Said give them a couple weeks as things are busy
2,Weak website,te-rapa,STIHL SHOP Te Rapa,Hamilton,Northern,07 849 9966,terapa@stihlshop.co.nz,Onkar and Sukhdeep Singh,https://stihlshop-terapa.co.nz,,,40,WordPress,,4.3,229,https://www.facebook.com/stihlshopterapa,2284,https://www.instagram.com/stihlshopterapa/,te-rapa.preview.f925.works,,audit 40/100 on WordPress · only 0 internal pages · no contact form · no opening hours found,
2,Weak website,warkworth,STIHL SHOP Warkworth,Warkworth,Northern,09 425 7772,warkworth@stihlshop.co.nz,Michael & Roanne Bremner,https://www.stihlshopwarkworth.co.nz,,,37,Wix,,4.9,94,https://www.facebook.com/stihlshopwarkworth,675,https://www.instagram.com/stihlshopwarkworth/,warkworth.preview.f925.works,,audit 37/100 on Wix · stale (newest year on page 2023) · very little content · no contact form · no opening hours found,
2,Weak website,invercargill,STIHL SHOP Invercargill,Invercargill,Southern,03 218 9364,invercargill@stihlshop.co.nz,Shirley & Gillon Muirhead,https://www.stihlshopinvercargill.co.nz,,,49,Custom / unknown,,3.8,60,https://www.facebook.com/Stihl-Shop-Invercargill-188561384656961,,https://www.instagram.com/stihlshopinvercargill/,invercargill.preview.f925.works,,audit 49/100 on Custom / unknown · stale (newest year on page 2019) · slow load 7.8s · no contact form,
2,Weak website,mosgiel,STIHL SHOP Mosgiel,Mosgiel,Southern,03 486 1222,mosgiel@stihlshop.co.nz,David Hay and Andrew Allan,https://stihlshopmosgiel.co.nz,,,52,WordPress,,5,8,https://www.facebook.com/stihlshopmosgiel,725,https://www.instagram.com/stihl.shop.mosgiel/,mosgiel.preview.f925.works,,audit 52/100 on WordPress · slow load 7.9s · no contact form,
2,Weak website,rolleston,STIHL SHOP Rolleston,Christchurch,Southern,03 242 0421,rolleston@stihlshop.co.nz,Stephen Bain and Simon Moore,https://www.stihlshoprolleston.co.nz,,,36,WordPress,,4.9,54,https://www.facebook.com/p/STIHL-SHOP-Rolleston-100083329419309/,837,https://www.instagram.com/stihlshoprolleston/,rolleston.preview.f925.works,,audit 36/100 on WordPress · stale (newest year on page 2023) · slow load 8.5s · no contact form,
2,Weak website,timaru,STIHL SHOP Timaru,Timaru,Southern,03 688 2557,sales@stihlshoptimaru.co.nz,John Bishop,https://stihlshoptimaru.co.nz,,,46,WordPress,,4.7,67,https://www.facebook.com/Stihlshoptimaru,1369,https://www.instagram.com/stihltimaru/,timaru.preview.f925.works,,audit 46/100 on WordPress · stale (newest year on page 2021) · no contact form,
3,Decent website,feilding,STIHL SHOP Feilding,Feilding,Central,06 323 8271,feilding@stihlshop.co.nz,Richard & Nicky Baker,https://stihlshopfeilding.co.nz,,,62,WordPress,,4.5,51,https://www.facebook.com/stihlshopfeilding,588,,feilding.preview.f925.works,,audit 62/100 on WordPress · slow load 6.6s · no contact form · 8 internal pages · hours shown · STIHL branding present,
3,Decent website,greenmeadows,STIHL SHOP Greenmeadows,Napier,Central,06 844 2418,greenmeadows@stihlshop.co.nz,Hayden & Victoria Buckman,https://stihlshopgreenmeadows.co.nz,,,72,WordPress,,4.4,97,https://www.facebook.com/STIHLShopNapier,1516,https://www.instagram.com/stihlshopgreenmeadows/,greenmeadows.preview.f925.works,,audit 72/100 on WordPress · no contact form · 24 internal pages · hours shown · STIHL branding present,
3,Decent website,greytown,STIHL SHOP Greytown,Greytown,Central,06 304 9661,greytown@stihlshop.co.nz,James Pringle,https://www.stihlshopgreytown.co.nz,,,72,Webflow,,4.7,71,https://www.facebook.com/stihlshopgreytown,,,greytown.preview.f925.works,,audit 72/100 on Webflow · no contact form · 16 internal pages · hours shown · STIHL branding present,Site has contact form only; email from franchise page
3,Decent website,kapiti,STIHL SHOP Kapiti,Paraparaumu,Central,04 212 5570,kapiti@stihlshop.co.nz,Eben Venter,https://www.stihlshopkapiti.nz,,,62,Custom / unknown,,4.6,110,https://www.facebook.com/kapitifoodbank1,1574,https://www.instagram.com/stihlshopkapiti/,kapiti.preview.f925.works,,audit 62/100 on Custom / unknown · slow load 7.0s · no contact form · 8 internal pages · hours shown · STIHL branding present,Site has contact form only; email from franchise page
3,Decent website,lakelands,STIHL SHOP Lakelands,Rotorua,Central,07 348 8141,lakelands@stihlshop.co.nz,Christine Leaf,https://stihlshoplakelands.co.nz,,,67,WordPress (Elementor),2026-01-31,4.8,38,https://www.facebook.com/StihlShopLakelands,623,https://www.instagram.com/stihlshoplakelands/,lakelands.preview.f925.works,,audit 67/100 on WordPress (Elementor) · no contact form · no opening hours found · 19 internal pages · map · STIHL branding present · seen via Wayback 2026-01-31 + live text (site geo-blocks non-NZ visitors),
3,Decent website,napier,STIHL SHOP Napier,Napier,Central,06 835 7850,napier@stihlshop.co.nz,Martin and Deborah Leach,https://stihlshopnapier.co.nz,,,58,WordPress (Elementor),,4.4,58,https://www.facebook.com/STIHLShopNapier,1516,https://www.instagram.com/stihlshopnapier/,napier.preview.f925.works,,audit 58/100 on WordPress (Elementor) · slow load 17.2s · no contact form · 37 internal pages · hours shown · STIHL branding present,
3,Decent website,new-plymouth,STIHL SHOP New Plymouth,New Plymouth,Central,06 757 2929,newplymouth@stihlshop.co.nz,Hamish & Kate Scott,https://stihlshopnewplymouth.co.nz,,,62,Squarespace,,4.5,82,https://www.facebook.com/stihlshop.newplymouth,390,https://www.instagram.com/stihlshopnewplymouth/,new-plymouth.preview.f925.works,,audit 62/100 on Squarespace · slow load 6.8s · no contact form · 23 internal pages · hours shown · STIHL branding present,
3,Decent website,palmerston-north,STIHL SHOP Palmerston North,Palmerston North,Central,06 358 6275,palmerstonnorth@stihlshop.co.nz,Mark Detrey,https://www.stihlshoppalmerstonnorth.co.nz,,,58,WordPress (Elementor),,4.7,186,,,https://www.instagram.com/stihlshoppalmerstonnorth/,palmerston-north.preview.f925.works,,audit 58/100 on WordPress (Elementor) · slow load 7.3s · no contact form · 12 internal pages · hours shown · STIHL branding present,
3,Decent website,petone,STIHL SHOP Petone,Petone,Central,04 586 7139,petone@stihlshop.co.nz,Alastair & Louise Thomson,https://www.stihlshoppetone.co.nz,,,57,Webflow,,4.6,160,https://www.facebook.com/STIHLSHOPPetone,,https://www.instagram.com/stihlshoppetone/,petone.preview.f925.works,,audit 57/100 on Webflow · stale (newest year on page 2024) · no contact form · no opening hours found · 47 internal pages · substantial content · STIHL branding present,
3,Decent website,upper-hutt,STIHL SHOP Upper Hutt,Upper Hutt,Central,04 527 9682,upperhutt@stihlshop.co.nz,Alastair & Louise Thomson,https://www.stihlshopupperhutt.co.nz,,,60,Webflow,,4.6,166,https://www.facebook.com/p/STIHL-SHOP-Upper-Hutt-61581156565198/,125,,upper-hutt.preview.f925.works,,audit 60/100 on Webflow · no contact form · no opening hours found · 42 internal pages · STIHL branding present · links to stihlshop.co.nz,
3,Decent website,glen-eden,STIHL SHOP Glen Eden,Glen Eden,Northern,09 818 5144,gleneden@stihlshop.co.nz,Anthony McGill,https://mcgilloutdoors.co.nz,,,70,Shopify,,4.6,161,https://www.facebook.com/STIHLSHOPGlenEden,1489,https://www.instagram.com/stihlshopgleneden/,glen-eden.preview.f925.works,,audit 70/100 on Shopify · no opening hours found · 30 internal pages · contact form · STIHL branding present,
3,Decent website,mt-albert,STIHL SHOP Mt Albert,Auckland,Northern,09 846 1820,mtalbert@stihlshop.co.nz,Hamish Cook and Clare Uhlenberg,https://mcgilloutdoors.co.nz,,,74,Shopify,,4.2,137,https://www.facebook.com/stihlshopmtalbert,495,https://www.instagram.com/mtalbert_stihlshop/,mt-albert.preview.f925.works,,audit 74/100 on Shopify · no opening hours found · 30 internal pages · contact form · STIHL branding present,
3,Decent website,mt-maunganui,STIHL SHOP Mt Maunganui,Mt Maunganui,Northern,07 575 8840,mtmaunganui@stihlshop.co.nz,Craig and Fiona Burnham,https://www.stihlshopmtmaunganui.co.nz,,,76,Webflow,,4.7,115,https://www.facebook.com/Stihl-Shop-Mt-Maunganui-177749982265429,,https://www.instagram.com/stihlshopmtmaunganui/,mt-maunganui.preview.f925.works,,audit 76/100 on Webflow · no contact form · 35 internal pages · hours shown · STIHL branding present,
3,Decent website,whangarei,STIHL SHOP Whangarei,Whangarei,Northern,09 438 8841,whangarei@stihlshop.co.nz,"Raymond Nair, Olivia Lew and James Nair",https://stihlshopwhangarei.co.nz,,,58,WordPress,,4.2,122,https://www.facebook.com/sswhangarei,920,,whangarei.preview.f925.works,,audit 58/100 on WordPress · slow load 10.2s · no contact form · 8 internal pages · hours shown · STIHL branding present,
3,Decent website,ferrymead,STIHL SHOP Ferrymead,Ferrymead,Southern,03 376 4656,ferrymead@stihlshop.co.nz,Bill and Shelley Caines,https://www.stihlshopferrymead.com,,,57,Wix,,5,43,https://www.facebook.com/stihlshopferrymead,550,https://www.instagram.com/stihlshopferrymead/,ferrymead.preview.f925.works,,audit 57/100 on Wix · no contact form · builder: Wix · hours shown · STIHL branding present · links to stihlshop.co.nz,
